"player","squad","comp","pos","age","born","matches_played","starts","min_played","nineties","goals","assists","total_contributions","yellow_cards","red_cards","total_shots","shots_on_target","fouls_committed","fouls_drawn","tackles_won","fatigue_percentage","fatigue_status","contributions_per_90"
"Maximilian Eggestein","Freiburg","de Bundesliga","MF",28.0,1996,34,34,3060,34.0,3,1,4,4,0,44,13,18,20,34,113.3,"إرهاق مرتفع جداً",0.12
"Oliver Baumann","Hoffenheim","de Bundesliga","GK",35.0,1990,34,34,3060,34.0,0,0,0,3,0,0,0,1,6,0,113.3,"إرهاق مرتفع جداً",0.00
"Nikola Vasilj","St Pauli","de Bundesliga","GK",29.0,1995,34,34,3060,34.0,0,0,0,0,0,0,0,0,1,1,113.3,"إرهاق مرتفع جداً",0.00
"Finn Dahmen","Augsburg","de Bundesliga","GK",27.0,1998,34,34,3060,34.0,0,0,0,1,0,1,0,0,9,0,113.3,"إرهاق مرتفع جداً",0.00
"Noah Atubolu","Freiburg","de Bundesliga","GK",23.0,2002,34,34,3060,34.0,0,0,0,1,0,0,0,0,6,0,113.3,"إرهاق مرتفع جداً",0.00
"Danilho Doekhi","Union Berlin","de Bundesliga","DF",27.0,1998,34,34,3060,34.0,5,0,5,4,0,45,11,28,15,31,113.3,"إرهاق مرتفع جداً",0.15
"Alexander Nübel","Stuttgart","de Bundesliga","GK",28.0,1996,34,34,3060,34.0,0,1,1,0,0,0,0,1,7,0,113.3,"إرهاق مرتفع جداً",0.03
"Kamil Grabara","Wolfsburg","de Bundesliga","GK",26.0,1999,34,34,3060,34.0,0,0,0,1,0,1,0,0,2,1,113.3,"إرهاق مرتفع جداً",0.00
"Gregor Kobel","Dortmund","de Bundesliga","GK",27.0,1997,34,34,3060,34.0,0,0,0,3,0,0,0,0,5,0,113.3,"إرهاق مرتفع جداً",0.00
"Patrick Mainka","Heidenheim","de Bundesliga","DF",30.0,1994,34,34,3060,34.0,2,2,4,1,0,37,9,10,20,30,113.3,"إرهاق مرتفع جداً",0.12
"Moritz Nicolas","Gladbach","de Bundesliga","GK",27.0,1997,34,34,3060,34.0,0,0,0,1,0,0,0,0,3,1,113.3,"إرهاق مرتفع جداً",0.00
"Marvin Schwäbe","Köln","de Bundesliga","GK",30.0,1995,34,34,3060,34.0,0,0,0,2,0,0,0,1,4,1,113.3,"إرهاق مرتفع جداً",0.00
"Kaishu Sano","Mainz 05","de Bundesliga","MF",24.0,2000,34,34,3059,34.0,1,2,3,1,0,24,6,14,29,31,113.3,"إرهاق مرتفع جداً",0.09
"Jakub Kamiński","Köln","de Bundesliga","MF,FW",23.0,2002,34,34,3016,33.5,7,3,10,4,0,62,25,14,28,27,111.7,"إرهاق مرتفع جداً",0.30
"Vladimír Coufal","Hoffenheim","de Bundesliga","DF,MF",32.0,1992,34,34,3012,33.5,1,8,9,4,0,26,6,32,42,35,111.6,"إرهاق مرتفع جداً",0.27
"Romano Schmid","Werder Bremen","de Bundesliga","MF,FW",25.0,2000,34,34,2982,33.1,4,8,12,4,0,57,21,19,31,28,110.4,"إرهاق مرتفع جداً",0.36
"Daniel Heuer Fernandes","Hamburger SV","de Bundesliga","GK",32.0,1992,33,33,2970,33.0,0,0,0,3,0,1,0,0,4,0,110.0,"إرهاق مرتفع جداً",0.00
"Nico Elvedi","Gladbach","de Bundesliga","DF",28.0,1996,33,33,2966,33.0,0,2,2,5,0,9,0,18,16,32,109.9,"إرهاق مرتفع جداً",0.06
"Willi Orban","RB Leipzig","de Bundesliga","DF",32.0,1992,33,33,2949,32.8,2,0,2,4,0,20,9,20,23,33,109.2,"إرهاق مرتفع جداً",0.06
"Mio Backhaus","Werder Bremen","de Bundesliga","GK",21.0,2004,32,32,2880,32.0,0,0,0,1,0,0,0,0,13,0,106.7,"إرهاق مرتفع جداً",0.00
"Nicolai Remberg","Hamburger SV","de Bundesliga","MF",25.0,2000,32,32,2880,32.0,0,2,2,11,0,17,8,44,48,27,106.7,"إرهاق مرتفع جداً",0.06
"Waldemar Anton","Dortmund","de Bundesliga","DF",29.0,1996,32,32,2880,32.0,2,0,2,3,0,16,6,26,16,42,106.7,"إرهاق مرتفع جداً",0.06
"Leon Avdullahu","Hoffenheim","de Bundesliga","MF",21.0,2004,33,32,2834,31.5,0,1,1,5,0,14,2,27,12,30,105.0,"إرهاق مرتفع جداً",0.03
"Matthias Ginter","Freiburg","de Bundesliga","DF",31.0,1994,32,32,2833,31.5,3,3,6,3,0,19,7,16,19,14,104.9,"إرهاق مرتفع جداً",0.19
"Robin Koch","Eintracht Frankfurt","de Bundesliga","DF",29.0,1996,32,32,2833,31.5,3,1,4,3,1,15,5,31,13,27,104.9,"إرهاق مرتفع جداً",0.13
"Rani Khedira","Union Berlin","de Bundesliga","MF",31.0,1994,32,32,2830,31.4,5,1,6,7,0,23,10,52,18,35,104.8,"إرهاق مرتفع جداً",0.19
"Robin Fellhauer","Augsburg","de Bundesliga","MF",27.0,1998,34,31,2799,31.1,3,2,5,2,0,30,9,25,33,43,103.7,"إرهاق مرتفع جداً",0.16
"Diant Ramaj","Heidenheim","de Bundesliga","GK",23.0,2001,31,31,2790,31.0,0,1,1,2,0,0,0,2,2,0,103.3,"إرهاق مرتفع جداً",0.03
"Christoph Baumgartner","RB Leipzig","de Bundesliga","MF",25.0,1999,33,32,2780,30.9,13,8,21,10,0,81,35,63,33,40,103.0,"إرهاق مرتفع جداً",0.68
"Senne Lynen","Werder Bremen","de Bundesliga","MF",26.0,1999,31,31,2752,30.6,0,0,0,4,0,25,4,38,12,33,101.9,"إرهاق مرتفع جداً",0.00
"Angelo Stiller","Stuttgart","de Bundesliga","MF",24.0,2001,34,30,2743,30.5,2,5,7,1,0,17,8,18,44,23,101.6,"إرهاق مرتفع جداً",0.23
"Leopold Querfeld","Union Berlin","de Bundesliga","DF",21.0,2003,31,30,2705,30.1,3,0,3,7,0,29,10,46,28,27,100.2,"إرهاق مرتفع جداً",0.10
"Danny da Costa","Mainz 05","de Bundesliga","DF,MF",32.0,1993,34,30,2695,29.9,2,3,5,3,0,14,5,22,24,27,99.8,"إرهاق مرتفع جداً",0.17
"Nicolas Seiwald","RB Leipzig","de Bundesliga","MF",24.0,2001,33,31,2694,29.9,0,2,2,2,0,20,7,18,6,47,99.8,"إرهاق مرتفع جداً",0.07
"Aleix García","Leverkusen","de Bundesliga","MF",28.0,1997,33,31,2667,29.6,3,8,11,6,0,30,5,8,19,20,98.8,"إرهاق مرتفع جداً",0.37
"Joel Fujita","St Pauli","de Bundesliga","MF",23.0,2002,32,31,2665,29.6,1,3,4,6,0,32,7,37,19,36,98.7,"إرهاق مرتفع جداً",0.14
"Nathaniel Brown","Eintracht Frankfurt","de Bundesliga","MF,DF",22.0,2003,33,29,2656,29.5,4,4,8,3,0,18,9,27,33,57,98.4,"إرهاق مرتفع جداً",0.27
"Frederik Rønnow","Union Berlin","de Bundesliga","GK",32.0,1992,30,30,2640,29.3,0,0,0,2,0,0,0,1,3,1,97.8,"إرهاق مرتفع جداً",0.00
"Rocco Reitz","Gladbach","de Bundesliga","MF",23.0,2002,31,31,2627,29.2,0,4,4,8,1,47,14,35,55,42,97.3,"إرهاق مرتفع جداً",0.14
"Joe Scally","Gladbach","de Bundesliga","DF,MF",22.0,2002,32,29,2608,29.0,2,3,5,8,0,16,10,33,51,27,96.6,"إرهاق مرتفع جداً",0.17
"Hauke Wahl","St Pauli","de Bundesliga","DF",31.0,1994,30,29,2592,28.8,2,1,3,1,0,10,4,11,13,32,96.0,"إرهاق مرتفع جداً",0.10
"Arkadiusz Pyrka","St Pauli","de Bundesliga","MF",22.0,2002,31,30,2576,28.6,0,1,1,3,0,19,3,17,32,24,95.4,"إرهاق مرتفع جداً",0.03
"Edmond Tapsoba","Leverkusen","de Bundesliga","DF",26.0,1999,29,29,2575,28.6,5,3,8,7,0,29,10,31,2,15,95.4,"إرهاق مرتفع جداً",0.28
"Eric Martel","Köln","de Bundesliga","MF,DF",23.0,2002,31,30,2559,28.4,2,2,4,12,1,23,4,42,51,32,94.8,"إرهاق مرتفع جداً",0.14
"David Raum","RB Leipzig","de Bundesliga","DF",27.0,1998,30,29,2553,28.4,3,7,10,6,0,24,8,29,17,35,94.6,"إرهاق مرتفع جداً",0.35
"Marco Friedl","Werder Bremen","de Bundesliga","DF",27.0,1998,30,29,2546,28.3,1,0,1,9,1,8,2,17,16,24,94.3,"إرهاق مرتفع جداً",0.04
"Robert Andrich","Leverkusen","de Bundesliga","DF,MF",30.0,1994,32,29,2546,28.3,2,0,2,6,1,12,3,30,22,30,94.3,"إرهاق مرتفع جداً",0.07
"Álex Grimaldo","Leverkusen","de Bundesliga","MF",29.0,1995,29,29,2521,28.0,8,7,15,5,0,61,21,11,29,25,93.4,"إرهاق مرتفع جداً",0.54
"Nico Schlotterbeck","Dortmund","de Bundesliga","DF",25.0,1999,28,28,2520,28.0,5,1,6,8,0,32,9,30,27,38,93.3,"إرهاق مرتفع جداً",0.21
"Ridle Baku","RB Leipzig","de Bundesliga","DF",27.0,1998,32,28,2504,27.8,2,3,5,4,0,30,6,23,22,40,92.7,"إرهاق مرتفع جداً",0.18
"Sebastian Sebulonsen","Köln","de Bundesliga","DF,MF",25.0,2000,31,28,2498,27.8,0,0,0,5,0,31,5,11,9,26,92.5,"إرهاق مرتفع جداً",0.00
"Yannik Engelhardt","Gladbach","de Bundesliga","MF",24.0,2001,31,29,2487,27.6,2,2,4,7,0,21,5,41,34,23,92.1,"إرهاق مرتفع جداً",0.14
"Konstantinos Koulierakis","Wolfsburg","de Bundesliga","DF",21.0,2003,29,27,2482,27.6,4,1,5,5,0,26,12,29,13,25,91.9,"إرهاق مرتفع جداً",0.18
"Yan Diomandé","RB Leipzig","de Bundesliga","FW,MF",18.0,2006,33,28,2472,27.5,12,8,20,2,0,53,26,19,34,19,91.6,"إرهاق مرتفع جداً",0.73
"Kevin Diks","Gladbach","de Bundesliga","DF",28.0,1996,30,28,2464,27.4,5,0,5,6,0,23,13,15,22,30,91.3,"إرهاق مرتفع جداً",0.18
"Jens Stage","Werder Bremen","de Bundesliga","MF",28.0,1996,29,29,2460,27.3,10,2,12,5,0,56,21,35,30,32,91.1,"إرهاق مرتفع جداً",0.44
"Daniel Svensson","Dortmund","de Bundesliga","MF",23.0,2002,33,27,2454,27.3,2,2,4,0,0,12,4,28,22,26,90.9,"إرهاق مرتفع جداً",0.15
"Luis Díaz","Bayern Munich","de Bundesliga","MF",28.0,1997,32,27,2447,27.2,15,14,29,7,1,88,37,35,38,13,90.6,"إرهاق مرتفع جداً",1.07
"Philipp Sander","Gladbach","de Bundesliga","DF,MF",27.0,1998,30,29,2445,27.2,2,0,2,4,0,25,8,28,14,42,90.6,"إرهاق مرتفع جداً",0.07
"Luka Vušković","Hamburger SV","de Bundesliga","DF",18.0,2007,28,27,2442,27.1,6,0,6,6,0,32,10,29,32,17,90.4,"إرهاق مرتفع جداً",0.22
"Miro Muheim","Hamburger SV","de Bundesliga","MF,DF",27.0,1998,29,27,2435,27.1,0,4,4,7,1,24,7,39,50,35,90.2,"إرهاق مرتفع جداً",0.15
"Albian Hajdari","Hoffenheim","de Bundesliga","DF",22.0,2003,30,28,2434,27.0,1,2,3,10,0,19,4,43,23,38,90.1,"إرهاق مرتفع جداً",0.11
"Wouter Burger","Hoffenheim","de Bundesliga","MF",24.0,2001,30,30,2430,27.0,4,5,9,7,1,36,13,57,12,42,90.0,"إرهاق مرتفع جداً",0.33
"Yukinari Sugawara","Werder Bremen","de Bundesliga","DF,MF",25.0,2000,31,29,2428,27.0,0,6,6,2,1,30,11,22,11,22,89.9,"إرهاق مرتفع جداً",0.22
"Han-Noah Massengo","Augsburg","de Bundesliga","MF",24.0,2001,33,29,2427,27.0,2,1,3,5,0,20,6,25,23,18,89.9,"إرهاق مرتفع جداً",0.11
"Christian Eriksen","Wolfsburg","de Bundesliga","MF",33.0,1992,31,27,2410,26.8,3,9,12,4,0,38,14,13,5,20,89.3,"إرهاق مرتفع جداً",0.45
"Haris Tabakovic","Gladbach","de Bundesliga","FW",31.0,1994,32,28,2382,26.5,13,3,16,5,0,67,27,48,20,6,88.2,"إرهاق مرتفع جداً",0.60
"Harry Kane","Bayern Munich","de Bundesliga","FW,MF",32.0,1993,31,25,2377,26.4,36,5,41,1,0,119,67,25,32,13,88.0,"إرهاق مرتفع جداً",1.55
"Jamie Leweling","Stuttgart","de Bundesliga","MF",24.0,2001,32,26,2367,26.3,7,9,16,4,0,49,18,17,43,12,87.7,"إرهاق مرتفع جداً",0.61
"Ritsu Doan","Eintracht Frankfurt","de Bundesliga","MF",27.0,1998,31,28,2364,26.3,5,5,10,5,0,41,15,26,35,23,87.6,"إرهاق مرتفع جداً",0.38
"Fabian Rieder","Augsburg","de Bundesliga","MF",23.0,2002,32,28,2343,26.0,6,3,9,4,0,38,13,45,38,20,86.8,"إرهاق مرتفع جداً",0.35
"Dominik Kohr","Mainz 05","de Bundesliga","DF",31.0,1994,29,28,2338,26.0,2,0,2,11,2,15,4,40,43,35,86.6,"إرهاق مرتفع جداً",0.08
"Serhou Guirassy","Dortmund","de Bundesliga","FW",29.0,1996,33,27,2337,26.0,17,1,18,3,0,84,40,37,36,1,86.6,"إرهاق مرتفع جداً",0.69
"Fisnik Asllani","Hoffenheim","de Bundesliga","FW,MF",22.0,2002,33,31,2335,25.9,10,7,17,2,0,73,28,26,37,7,86.5,"إرهاق مرتفع جداً",0.66
"Ransford Königsdörffer","Hamburger SV","de Bundesliga","FW,MF",23.0,2001,33,29,2329,25.9,5,1,6,2,0,65,22,25,32,4,86.3,"إرهاق مرتفع جداً",0.23
"Jonas Föhrenbach","Heidenheim","de Bundesliga","DF,MF",29.0,1996,27,25,2325,25.8,1,1,2,3,0,6,1,16,18,27,86.1,"إرهاق مرتفع جداً",0.08
"Michael Olise","Bayern Munich","de Bundesliga","MF",23.0,2001,32,23,2316,25.7,15,19,34,8,0,102,50,32,58,11,85.8,"إرهاق مرتفع جداً",1.32
"Bernardo","Hoffenheim","de Bundesliga","DF",30.0,1995,29,26,2312,25.7,0,0,0,9,0,10,0,42,11,42,85.6,"إرهاق مرتفع جداً",0.00
"Eric Smith","St Pauli","de Bundesliga","DF,MF",28.0,1997,27,26,2311,25.7,2,2,4,4,1,12,5,15,29,23,85.6,"إرهاق مرتفع جداً",0.16
"Bazoumana Touré","Hoffenheim","de Bundesliga","MF,FW",19.0,2006,30,29,2308,25.6,5,9,14,2,0,48,13,44,29,22,85.5,"إرهاق مرتفع جداً",0.55
"Jarell Quansah","Leverkusen","de Bundesliga","DF",22.0,2003,28,25,2299,25.5,4,0,4,9,0,18,8,18,21,22,85.1,"إرهاق مرتفع جداً",0.16
"Julian Chabot","Stuttgart","de Bundesliga","DF",27.0,1998,27,26,2294,25.5,0,0,0,3,0,18,7,35,40,20,85.0,"إرهاق مرتفع جداً",0.00
"Joshua Kimmich","Bayern Munich","de Bundesliga","MF",30.0,1995,29,24,2280,25.3,2,8,10,4,0,28,10,8,21,26,84.4,"إرهاق مرتفع جداً",0.39
"Kristoffer Lund","Köln","de Bundesliga","DF,MF",23.0,2002,33,26,2276,25.3,0,2,2,2,0,20,3,13,40,26,84.3,"إرهاق مرتفع جداً",0.08
"Julian Ryerson","Dortmund","de Bundesliga","MF",27.0,1997,31,26,2266,25.2,0,15,15,8,0,12,1,26,21,21,83.9,"إرهاق مرتفع جداً",0.60
"Niklas Dorsch","Heidenheim","de Bundesliga","MF",27.0,1998,32,27,2258,25.1,0,1,1,2,0,14,3,30,27,31,83.6,"إرهاق مرتفع جداً",0.04
"Andrej Ilic","Union Berlin","de Bundesliga","FW",25.0,2000,32,24,2257,25.1,5,10,15,5,0,71,26,38,32,3,83.6,"إرهاق مرتفع جداً",0.60
"Jan Schöppner","Heidenheim","de Bundesliga","MF",26.0,1999,31,29,2252,25.0,3,3,6,5,0,25,7,21,17,17,83.4,"إرهاق مرتفع جداً",0.24
"Robin Hranáč","Hoffenheim","de Bundesliga","DF",25.0,2000,29,26,2251,25.0,1,0,1,5,0,8,3,26,10,15,83.4,"إرهاق مرتفع جداً",0.04
"Deniz Undav","Stuttgart","de Bundesliga","FW,MF",29.0,1996,29,25,2241,24.9,19,7,26,5,0,124,46,32,23,14,83.0,"إرهاق مرتفع جداً",1.04
"Andrej Kramarić","Hoffenheim","de Bundesliga","MF,FW",34.0,1991,34,26,2207,24.5,14,6,20,2,0,64,33,5,14,5,81.7,"إرهاق مرتفع جداً",0.82
"Fabio Vieira","Hamburger SV","de Bundesliga","MF,FW",25.0,2000,29,25,2206,24.5,7,5,12,4,2,59,19,18,44,9,81.7,"إرهاق مرتفع جداً",0.49
"Rômulo","RB Leipzig","de Bundesliga","FW",23.0,2002,30,27,2188,24.3,9,4,13,3,0,63,27,20,20,19,81.0,"إرهاق مرتفع جداً",0.53
"Philipp Treu","Freiburg","de Bundesliga","DF,MF",24.0,2000,28,24,2186,24.3,1,2,3,2,0,17,5,20,37,27,81.0,"إرهاق مرتفع جداً",0.12
"Maximilian Mittelstädt","Stuttgart","de Bundesliga","DF,MF",28.0,1997,32,24,2186,24.3,6,4,10,4,0,31,16,11,26,42,81.0,"إرهاق مرتفع جداً",0.41
"Lee Jae-sung","Mainz 05","de Bundesliga","MF,FW",32.0,1992,28,26,2185,24.3,4,2,6,4,0,30,9,19,22,21,80.9,"إرهاق مرتفع جداً",0.25
"Felix Nmecha","Dortmund","de Bundesliga","MF",24.0,2000,29,25,2176,24.2,2,3,5,0,0,33,7,28,22,23,80.6,"إرهاق مرتفع جداً",0.21
"Castello Lukeba","RB Leipzig","de Bundesliga","DF",22.0,2002,26,24,2176,24.2,1,0,1,3,0,8,2,11,12,14,80.6,"إرهاق مرتفع جداً",0.04
"Arijon Ibrahimović","Heidenheim","de Bundesliga","MF,FW",19.0,2005,32,25,2169,24.1,2,4,6,2,0,47,19,13,27,18,80.3,"إرهاق مرتفع جداً",0.25
"Arthur Theate","Eintracht Frankfurt","de Bundesliga","DF",25.0,2000,24,24,2141,23.8,1,0,1,8,0,15,7,15,13,21,79.3,"إرهاق مرتفع جداً",0.04
"Mark Flekken","Leverkusen","de Bundesliga","GK",32.0,1993,24,24,2129,23.7,0,0,0,2,0,0,0,0,3,0,78.9,"إرهاق مرتفع جداً",0.00
"Abdoul Coulibaly","Werder Bremen","de Bundesliga","DF",18.0,2007,27,24,2120,23.6,1,0,1,5,1,6,1,18,9,14,78.5,"إرهاق مرتفع جداً",0.04
"Alexis Claude-Maurice","Augsburg","de Bundesliga","MF,FW",27.0,1998,29,25,2097,23.3,5,4,9,3,0,71,26,23,42,26,77.7,"إرهاق مرتفع جداً",0.39
"Nadiem Amiri","Mainz 05","de Bundesliga","MF",28.0,1996,26,24,2083,23.1,12,2,14,6,0,54,22,20,26,18,77.1,"إرهاق مرتفع جداً",0.60
"Johan Manzambi","Freiburg","de Bundesliga","MF",19.0,2005,27,26,2077,23.1,5,4,9,4,2,51,13,22,78,14,76.9,"إرهاق مرتفع جداً",0.39
"Paul Nebel","Mainz 05","de Bundesliga","MF",22.0,2002,30,24,2073,23.0,5,2,7,2,2,32,8,29,20,30,76.8,"إرهاق مرتفع جداً",0.30
"Phillipp Mwene","Mainz 05","de Bundesliga","MF",31.0,1994,29,24,2069,23.0,1,2,3,4,0,10,2,22,32,20,76.6,"إرهاق مرتفع جداً",0.13
"Danel Sinani","St Pauli","de Bundesliga","MF,FW",28.0,1997,30,23,2069,23.0,5,3,8,4,0,49,18,39,27,16,76.6,"إرهاق مرتفع جداً",0.35
"Lucas Höler","Freiburg","de Bundesliga","FW,MF",31.0,1994,33,25,2037,22.6,3,1,4,4,0,33,15,30,30,12,75.4,"إرهاق مرتفع جداً",0.18
"Keven Schlotterbeck","Augsburg","de Bundesliga","DF",28.0,1997,24,22,2031,22.6,0,1,1,7,1,12,3,25,20,25,75.2,"إرهاق مرتفع جداً",0.04
"Antonio Nusa","RB Leipzig","de Bundesliga","FW,MF",20.0,2005,31,24,2027,22.5,4,3,7,0,0,61,20,9,64,14,75.1,"إرهاق مرتفع جداً",0.31
"Maximilian Beier","Dortmund","de Bundesliga","MF,FW",22.0,2002,32,24,2026,22.5,9,6,15,3,0,50,20,31,24,16,75.0,"إرهاق مرتفع جداً",0.67
"Ramon Hendriks","Stuttgart","de Bundesliga","DF",24.0,2001,31,22,2025,22.5,0,3,3,3,0,5,0,17,25,15,75.0,"إرهاق مرتفع جداً",0.13
"Mathias Pereira Lage","St Pauli","de Bundesliga","MF,FW",28.0,1996,28,25,2018,22.4,2,2,4,3,0,43,15,32,32,23,74.7,"إرهاق مرتفع جداً",0.18
